./project --codes-config=project250.conf 

Wed Aug 19 05:23:50 2015

ROSS Revision: 3fcf778aab50497f0774bd29adc89e7054ba44b3

tw_net_start: Found world size to be 1 
num_active is 250
num_reps is 1000
j is 750

ROSS Core Configuration: 
	Total Nodes                                                  1
	Total Processors                                   [Nodes (1) x PE_per_Node (1)] 1
	Total KPs                                          [Nodes (1) x KPs (16)] 16
	Total LPs                                                 2000
	Simulation End Time                                31536000000000000.00
	LP-to-PE Mapping                                   model defined


ROSS Event Memory Allocation:
	Model events                                           1024001
	Network events                                           50000
	Total events                                           1074000

*** START SEQUENTIAL SIMULATION ***

$ sending server 694 talked to receiving server 693 in 1 hops
$ sending server 390 talked to receiving server 290 in 1 hops
$ sending server 766 talked to receiving server 767 in 1 hops
$ sending server 424 talked to receiving server 415 in 2 hops
$ sending server 158 talked to receiving server 167 in 2 hops
$ sending server 365 talked to receiving server 455 in 2 hops
$ sending server 217 talked to receiving server 208 in 2 hops
$ sending server 390 talked to receiving server 290 in 1 hops
$ sending server 694 talked to receiving server 693 in 1 hops
$ sending server 296 talked to receiving server 106 in 2 hops
$ sending server 766 talked to receiving server 767 in 1 hops
$ sending server 11 talked to receiving server 101 in 2 hops
$ sending server 159 talked to receiving server 151 in 2 hops
$ sending server 158 talked to receiving server 167 in 2 hops
$ sending server 573 talked to receiving server 772 in 3 hops
$ sending server 694 talked to receiving server 693 in 1 hops
$ sending server 217 talked to receiving server 208 in 2 hops
$ sending server 766 talked to receiving server 767 in 1 hops
$ sending server 159 talked to receiving server 151 in 2 hops
$ sending server 424 talked to receiving server 415 in 2 hops
$ sending server 365 talked to receiving server 455 in 2 hops
$ sending server 296 talked to receiving server 106 in 2 hops
$ sending server 789 talked to receiving server 588 in 3 hops
$ sending server 390 talked to receiving server 290 in 1 hops
$ sending server 11 talked to receiving server 101 in 2 hops
$ sending server 452 talked to receiving server 751 in 4 hops
$ sending server 217 talked to receiving server 208 in 2 hops
$ sending server 694 talked to receiving server 693 in 1 hops
$ sending server 577 talked to receiving server 456 in 4 hops
$ sending server 895 talked to receiving server 974 in 4 hops
$ sending server 766 talked to receiving server 767 in 1 hops
$ sending server 424 talked to receiving server 415 in 2 hops
$ sending server 158 talked to receiving server 167 in 2 hops
$ sending server 102 talked to receiving server 393 in 4 hops
$ sending server 191 talked to receiving server 881 in 4 hops
$ sending server 296 talked to receiving server 106 in 2 hops
$ sending server 365 talked to receiving server 455 in 2 hops
$ sending server 789 talked to receiving server 588 in 3 hops
$ sending server 11 talked to receiving server 101 in 2 hops
$ sending server 573 talked to receiving server 772 in 3 hops
$ sending server 390 talked to receiving server 290 in 1 hops
$ sending server 850 talked to receiving server 742 in 4 hops
$ sending server 159 talked to receiving server 151 in 2 hops
$ sending server 527 talked to receiving server 748 in 5 hops
$ sending server 567 talked to receiving server 496 in 5 hops
$ sending server 503 talked to receiving server 814 in 5 hops
$ sending server 258 talked to receiving server 477 in 5 hops
$ sending server 379 talked to receiving server 439 in 5 hops
$ sending server 523 talked to receiving server 629 in 5 hops
$ sending server 217 talked to receiving server 208 in 2 hops
$ sending server 424 talked to receiving server 415 in 2 hops
$ sending server 81 talked to receiving server 260 in 5 hops
$ sending server 577 talked to receiving server 456 in 4 hops
